test,G_vac,G_act,delta_G,delta_T,kappa,kappa_target,pass
protocol_a,0.16666666666666669,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,True
protocol_b_synthetic,,,,,,,True
