step,n3,n_edges,T_frobenius,T_mean_abs,T_max_vertex_residual,n_T_entries
0,1,30,4.2248962154208565,0.7320370871671826,4.45031857601222,30
20,1,50,1.5607857455054541,0.5416251258196318,1.6710578037786465,7
29,0,55,0.0,0.0,0.0,0
