# QBD Vacuum Parameter Sweep Results (2-Parameter Model)
# Timestamp: 20251114-083509
# Anchored ALPHA: 0.17 MeV
# Anchored T_VACUUM: 0.693 MeV
# Nodes (approx): 100
# Runs per point: 100
# Max Steps: 1500

mu,lambda,Runs_Success,Stall_Rate_pct,Mean_N3,Std_Dev_N3,Median_N3,Mean_Rho3,Std_Dev_Rho3,Median_Rho3,Skew_Rho3
0.3500000000000001,1.1,100,0.0,1.98,4.144828102587609,0.0,0.019799999999999998,0.041448281025876096,0.0,2.8689911163782504
0.3500000000000001,1.4000000000000001,100,0.0,1.47,4.325401715447942,0.0,0.014700000000000001,0.04325401715447943,0.0,3.6162942547855836
0.3500000000000001,1.7000000000000002,100,0.0,1.01,3.9153416198334465,0.0,0.0101,0.03915341619833448,0.0,4.2379622250548
0.3500000000000001,2.0,100,0.0,1.02,3.586028443835883,0.0,0.0102,0.03586028443835882,0.0,3.746477782849059
0.3500000000000001,2.3000000000000003,100,0.0,0.68,3.5351944783844633,0.0,0.0068,0.035351944783844645,0.0,5.398430400632287
0.3500000000000001,2.6000000000000005,100,0.0,0.9,4.897958758503383,0.0,0.009000000000000001,0.048979587585033825,0.0,6.984543124012886
0.3500000000000001,2.9000000000000004,100,0.0,1.2,4.586937976471886,0.0,0.012000000000000002,0.045869379764718866,0.0,3.8842731782031654
0.3500000000000001,3.2,100,0.0,0.99,5.2735092680301605,0.0,0.009899999999999999,0.05273509268030161,0.0,5.714908621247087
0.3500000000000001,3.5,100,0.0,0.53,2.4349743325135886,0.0,0.0053,0.024349743325135897,0.0,4.909111392750772
0.3500000000000001,3.8000000000000007,100,0.0,0.37,2.1984312588752926,0.0,0.0037000000000000006,0.021984312588752913,0.0,6.222411702241092
0.3500000000000001,4.1000000000000005,100,0.0,0.5,2.4758836806279896,0.0,0.005,0.024758836806279896,0.0,4.854660964280455
0.40000000000000013,0.8,100,0.0,9.82,7.946546419671882,8.0,0.09819999999999998,0.07946546419671881,0.08,0.7019166829244302
0.40000000000000013,1.1,100,0.0,5.04,6.079342069665106,2.0,0.0504,0.06079342069665104,0.02,1.5263517956852772
0.40000000000000013,1.4000000000000001,100,0.0,3.89,5.211324207914913,1.0,0.038900000000000004,0.052113242079149136,0.01,1.340742499379389
0.40000000000000013,1.7000000000000002,100,0.0,2.9,5.231634543811331,0.0,0.028999999999999998,0.05231634543811332,0.0,1.8668363951945217
0.40000000000000013,2.0,100,0.0,2.33,5.19048167321685,0.0,0.023300000000000005,0.05190481673216852,0.0,2.4475759238783366
0.40000000000000013,2.3000000000000003,100,0.0,2.73,6.084167979272104,0.0,0.0273,0.06084167979272105,0.0,2.5555367848120407
0.40000000000000013,2.6000000000000005,100,0.0,1.39,4.381540824869717,0.0,0.013900000000000001,0.04381540824869717,0.0,3.9318041001094497
0.40000000000000013,2.9000000000000004,100,0.0,2.77,5.766896912551845,0.0,0.0277,0.05766896912551844,0.0,2.116632776484627
0.40000000000000013,3.2,100,0.0,1.5,5.68946394662977,0.0,0.015,0.0568946394662977,0.0,4.99533176227684
0.40000000000000013,3.5,100,0.0,2.05,5.327992117111284,0.0,0.020499999999999997,0.05327992117111287,0.0,2.482484502462959
0.40000000000000013,3.8000000000000007,100,0.0,1.77,5.63889173508412,0.0,0.0177,0.0563889173508412,0.0,3.335977785639338
0.40000000000000013,4.1000000000000005,100,0.0,1.27,4.0665833324794916,0.0,0.0127,0.04066583332479491,0.0,3.336757625328371
0.45000000000000007,0.8,100,0.0,20.75,15.698009427949774,17.5,0.20750000000000005,0.15698009427949774,0.175,1.8996499696632902
0.45000000000000007,1.1,100,0.0,11.0,7.527283706623526,11.0,0.11000000000000001,0.07527283706623526,0.11,0.34087080735508757
0.45000000000000007,1.4000000000000001,100,0.0,8.78,9.068164092030978,7.0,0.08780000000000002,0.09068164092030977,0.07,2.546318731229126
0.45000000000000007,1.7000000000000002,100,0.0,4.84,6.963792070416806,2.0,0.04839999999999999,0.06963792070416808,0.02,2.140275042176206
0.45000000000000007,2.0,100,0.0,3.78,5.283143003932413,0.0,0.0378,0.052831430039324126,0.0,1.1797853965290979
0.45000000000000007,2.3000000000000003,100,0.0,3.45,5.705041629997104,0.0,0.034499999999999996,0.057050416299971034,0.0,1.7745107551500316
0.45000000000000007,2.6000000000000005,100,0.0,5.32,8.460354602497462,0.0,0.053200000000000004,0.08460354602497464,0.0,1.5240019725884952
0.45000000000000007,2.9000000000000004,100,0.0,3.5,6.253798845501828,0.0,0.035,0.06253798845501828,0.0,1.8137173340873471
0.45000000000000007,3.2,100,0.0,3.04,5.581970978068589,0.0,0.0304,0.055819709780685886,0.0,2.028922528243607
0.45000000000000007,3.5,100,0.0,4.4,8.091971329657563,0.0,0.044,0.08091971329657564,0.0,2.0537789452094453
0.45000000000000007,3.8000000000000007,100,0.0,3.37,5.821778078903386,0.0,0.0337,0.05821778078903387,0.0,1.51530952299735
0.45000000000000007,4.1000000000000005,100,0.0,3.27,6.517445818723774,0.0,0.0327,0.06517445818723774,0.0,1.8991464097732869
0.5000000000000001,0.8,100,0.0,49.14,28.002864139226904,40.0,0.49139999999999995,0.280028641392269,0.4,0.2083949481190135
0.5000000000000001,1.1,100,0.0,25.21,20.98537347773444,18.0,0.25210000000000005,0.20985373477734437,0.18,1.4553179687196602
0.5000000000000001,1.4000000000000001,100,0.0,15.96,19.68904263797506,11.0,0.15959999999999996,0.19689042637975065,0.11,2.7831585185951067
0.5000000000000001,1.7000000000000002,100,0.0,9.51,10.523777838780141,7.0,0.0951,0.1052377783878014,0.07,4.392567778808641
0.5000000000000001,2.0,100,0.0,9.17,13.622815421196895,6.0,0.0917,0.136228154211969,0.06,3.1692263912530017
0.5000000000000001,2.3000000000000003,100,0.0,6.87,7.594280742769522,4.0,0.0687,0.07594280742769523,0.04,1.0634244279854792
0.5000000000000001,2.6000000000000005,100,0.0,6.9,6.915923654870692,5.0,0.069,0.06915923654870693,0.05,0.7105746081056707
0.5000000000000001,2.9000000000000004,100,0.0,6.99,8.325256752797477,4.5,0.06989999999999999,0.08325256752797477,0.045,1.2643684235466983
0.5000000000000001,3.2,100,0.0,5.69,6.4818130179757585,4.0,0.05689999999999999,0.06481813017975759,0.04,0.9160068981099261
0.5000000000000001,3.5,100,0.0,5.5,7.8339006886735545,0.0,0.055,0.07833900688673556,0.0,1.5429112110275989
0.5000000000000001,3.8000000000000007,100,0.0,7.38,8.731300017752226,3.5,0.0738,0.08731300017752225,0.035,0.8933660998468017
0.5000000000000001,4.1000000000000005,100,0.0,6.37,7.8748396809077965,3.0,0.0637,0.07874839680907796,0.03,1.217350381663918
