u,v,G_ab,T_ab,local_stress
4,19,-0.19999999999999996,0.0,0
5,13,0.16666666666666663,0.0,0
7,16,-0.1777777777777777,0.0,0
6,15,-0.08333333333333326,0.0,0
7,17,-0.09999999999999998,0.0,0
2,7,0.16666666666666669,0.0,0
2,6,0.16666666666666669,0.0,0
7,15,-0.09999999999999998,0.0,0
